"id","name","agency","genres","image_url","popularity","songkick_id","spotify_url","spotify_id","spotify_followers"
179,"Justice","WME","alternative dance, dance-punk, electro house, electronic, filter house, indietronica, new rave","https://i.scdn.co/image/58d9c87c082d3af6f8ea8dc7ac44dd3823280b45",65,301499,"https://open.spotify.com/artist/1gR0gsQYfi6joyO1dlp76N","1gR0gsQYfi6joyO1dlp76N",710877
180,"Kayzo","WME","brostep, catstep, edm, electro house, electronic trap","https://i.scdn.co/image/0d5f1c1c5542091532217933e072ac1e8932f901",60,6809669,"https://open.spotify.com/artist/72iCiKwu6nu6Qq9emIwzYv","72iCiKwu6nu6Qq9emIwzYv",70809
181,"Kap Slap","WME","tropical pop edm","https://i.scdn.co/image/3a7be291d88a8288b95abe4bae9a7f44d156e040",46,4283996,"https://open.spotify.com/artist/1yRxS3CXYM7s6amlkEmozI","1yRxS3CXYM7s6amlkEmozI",28790
182,"Kidswaste","WME","indie poptimism, vapor soul","https://i.scdn.co/image/5a5476937a822d5d60893852f74373b2cd777b49",55,8878804,"https://open.spotify.com/artist/4aCkc4HrwC4Dopig7RELoH","4aCkc4HrwC4Dopig7RELoH",17373
183,"Leftfield","WME","acid house, big beat, breakbeat, downtempo, electronic, hardcore techno, trip hop","https://i.scdn.co/image/baa22e9e0e3b9400ebf715c0b075ed107235af9f",47,17885,"https://open.spotify.com/artist/72hqBMsw7x5jnfxxwkii8L","72hqBMsw7x5jnfxxwkii8L",91589
184,"Kygo","WME","edm, pop, tropical house","https://i.scdn.co/image/1caaca2be637b0c56bb0ede637e36a8bcca149d1",86,7738429,"https://open.spotify.com/artist/23fqKkggKUBHNkbKtXEls4","23fqKkggKUBHNkbKtXEls4",3825148
185,"Kölsch","WME","minimal techno, tech house, tropical house","https://i.scdn.co/image/701b346584d1dd4a01edcca5e6837c6cb55e268c",58,3861696,"https://open.spotify.com/artist/2D9Oe8R9UhbMvFAsMJpXj0","2D9Oe8R9UhbMvFAsMJpXj0",100343
186,"Lido","WME","indie r&b, norwegian hip hop, norwegian pop, vapor twitch","https://i.scdn.co/image/5c9c61fe38f1123f775a892d4955fe6c4c0ba03f",60,302510,"https://open.spotify.com/artist/1aSwrSGBNGMLn9ymttfRkk","1aSwrSGBNGMLn9ymttfRkk",80312
187,"M.I.A.","WME","dance pop, escape room, new rave, pop","https://i.scdn.co/image/31ef1aaf80f623deaeda9c8d5a4074b7f8b34516",69,493293,"https://open.spotify.com/artist/0QJIPDAEDILuo8AIq3pMuU","0QJIPDAEDILuo8AIq3pMuU",717358
188,"Lost Kings","WME","dance pop, deep tropical house, edm, electro house, indie poptimism, pop, tropical house","https://i.scdn.co/image/88bf8da8f895e8ff9027bce098f50c460a60efca",70,6375954,"https://open.spotify.com/artist/3hyEbRtp617pNCuuQjyOmc","3hyEbRtp617pNCuuQjyOmc",94067
